StaffID		  Name		  DepartmentID	   Salary

501  		  Hassan Ahmed 	      901 	   27000
502               Yousaf              902          26000
503               Iqbal               903          25000
504               Husnain             904          24000
505               Ali                 905          23000
506               Azeem               906          22000
507               Ahsan               901          27000
508               Zohaib              902          26000
509               Asfand              903          25000
510               Amir                904          24000
511               Ijaz                905          23000
512               Saleem              906          22000
513               Waseem              901          27000
514               Ayan                902          26000
515               Umair               903          25000
516               Hammad              904          24000
517               Adnan               905          23000
518               Kamran              906          20000
519               Hamza               901          27000
520               Taimoor             902          26000
521               Tanveer             903          25000
522               Huzaifa             904          24000
523               Abdullah            905          23000
524               Nafay               906          22000
525               Hadi                901          27000
526               Moeez               902          26000
527               Mohid               903          25000
528               Muneeb              904          24000
529               Mateen              905          23000
530               Muteeb              906          22000
531               GulSher             901          27000
532               Maaz                902          26000
533               Adan                903          25000
534               Rehan               904          24000
535               Arman               905          23000
536               Bilal               906          22000
537               Karan               901          27000
538               Kabeer              902          26000
539               Kafeel              903          25000
540               Asad                904          24000
541               Zarbab              905          23000
542               Zia                 906          22000
543               Haroon              901          27000
544               Sikandar            902          26000
545               Umer                903          25000
546               Hanzala             904          24000
547               Ahad                905          23000
548               Attique             906          22000
549               Shahzad             901          27000
550               Wahid               902          26000
